id,title,artist,disc_number,track_number,duration_ms,rate,superstar,rate_date
1uSzpJwP4qLSZ3ehOkd7hF,Rasta Voice - Original Club Mix,"UMEK, Beltek",1,1,428872,8,False,2026-07-02
3dyYzKtUAqtKZLhU5lSKQI,Out Of Play - Original Club Mix,"UMEK, Beltek",1,2,401008,9,False,2026-07-02
7KkSoif6VOK77X8s8SH3NN,Firewalk - Original Club Mix,"UMEK, Beltek",1,3,431612,10,False,2026-07-02
42itOPWwYkq1sznWYDXvXz,Casino Bounce - Original Club Mix,"UMEK, Beltek",1,4,337502,7,False,2026-07-02
0ATIpHc35Nw6c8jVlqFV1l,Pitchcraft - Original Club Mix,"UMEK, Beltek",1,5,448841,6,False,2026-07-02
4VO04O4r0u4kQuzGpEdgef,Keep The Frequency - Original Club Mix,"UMEK, Beltek",1,6,496117,5,False,2026-07-02
2szDjpQyUb4fhyTeTKMlxk,Touch After - Original Club Mix,"UMEK, Beltek",1,7,454616,9,False,2026-07-02
2brUaYavlPjgsPJs1SUVwt,Charley Chopper - Original Club Mix,"UMEK, Beltek",1,8,453183,8,False,2026-07-02
5Eie6eSCvNy1BHcdsZhzY5,Disco Mile - Original Club Mix,"UMEK, Beltek",1,9,487804,9,False,2026-07-02
0AFdeoCoFUvCV2fJSoond5,Let The Bass Kick - Original Club Mix,"UMEK, Beltek",1,10,428578,8,False,2026-07-02
322inOP4cqWvT84yuH7Mm1,Out Of Play - DJ Mix,"UMEK, Beltek",1,11,2751750,10,False,2026-07-02
